Recipe,Ingredients,Process
"Alur Tarkari","2 cups diced potatoes; 1/2 cup diced onions; 1/2 cup diced tomatoes; 2 cloves garlic, minced; 1 teaspoon ginger, minced; 1/2 teaspoon turmeric powder; 1/2 teaspoon cumin powder; 1/2 teaspoon coriander powder; 1/2 teaspoon red chili powder; 1/2 teaspoon garam masala; Salt to taste; 2 tablespoons vegetable oil; Chopped cilantro for garnish","1. Heat vegetable oil in a pan over medium heat. 2. Add diced potatoes and sauté until they start to turn golden brown. 3. Add diced onions and cook until they become translucent. 4. Stir in minced garlic and minced ginger. Cook for a minute. 5. Add diced tomatoes and cook until they turn soft. 6. Add turmeric powder, cumin powder, coriander powder, red chili powder, garam masala, and salt. Cook for a few minutes. 7. Add water and simmer until the potatoes are tender and the gravy thickens. 8. Garnish with chopped cilantro. 9. Serve hot with rice or roti."
"Phulkafir Tarkari","2 cups cauliflower florets; 1/2 cup diced onions; 1/2 cup diced tomatoes; 2 cloves garlic, minced; 1 teaspoon ginger, minced; 1/2 teaspoon turmeric powder; 1/2 teaspoon cumin powder; 1/2 teaspoon coriander powder; 1/2 teaspoon red chili powder; 1/2 teaspoon garam masala; Salt to taste; 2 tablespoons vegetable oil; Chopped cilantro for garnish","1. Heat vegetable oil in a pan over medium heat. 2. Add cauliflower florets and sauté until they start to turn golden brown. 3. Add diced onions and cook until they become translucent. 4. Stir in minced garlic and minced ginger. Cook for a minute. 5. Add diced tomatoes and cook until they turn soft. 6. Add turmeric powder, cumin powder, coriander powder, red chili powder, garam masala, and salt. Cook for a few minutes. 7. Add water and simmer until the cauliflower is tender and the gravy thickens. 8. Garnish with chopped cilantro. 9. Serve hot with rice or roti."
"Bandakofir Tarkari","2 cups cabbage, shredded; 1/2 cup diced onions; 1/2 cup diced tomatoes; 2 cloves garlic, minced; 1 teaspoon ginger, minced; 1/2 teaspoon turmeric powder; 1/2 teaspoon cumin powder; 1/2 teaspoon coriander powder; 1/2 teaspoon red chili powder; 1/2 teaspoon garam masala; Salt to taste; 2 tablespoons vegetable oil; Chopped cilantro for garnish","1. Heat vegetable oil in a pan over medium heat. 2. Add shredded cabbage and sauté until it starts to turn golden brown. 3. Add diced onions and cook until they become translucent. 4. Stir in minced garlic and minced ginger. Cook for a minute. 5. Add diced tomatoes and cook until they turn soft. 6. Add turmeric powder, cumin powder, coriander powder, red chili powder, garam masala, and salt. Cook for a few minutes. 7. Add water and simmer until the cabbage is tender and the gravy thickens. 8. Garnish with chopped cilantro. 9. Serve hot with rice or roti."
"Kumror Tarkari","2 cups pumpkin (kumro), diced; 1/2 cup diced onions; 1/2 cup diced tomatoes; 2 cloves garlic, minced; 1 teaspoon ginger, minced; 1/2 teaspoon turmeric powder; 1/2 teaspoon cumin powder; 1/2 teaspoon coriander powder; 1/2 teaspoon red chili powder; 1/2 teaspoon garam masala; Salt to taste; 2 tablespoons vegetable oil; Chopped cilantro for garnish","1. Heat vegetable oil in a pan over medium heat. 2. Add diced pumpkin and sauté until it starts to turn golden brown. 3. Add diced onions and cook until they become translucent. 4. Stir in minced garlic and minced ginger. Cook for a minute. 5. Add diced tomatoes and cook until they turn soft. 6. Add turmeric powder, cumin powder, coriander powder, red chili powder, garam masala, and salt. Cook for a few minutes. 7. Add water and simmer until the pumpkin is tender and the gravy thickens. 8. Garnish with chopped cilantro. 9. Serve hot with rice or roti."
"Vandir Tarkari","250g okra (vandir); 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon mustard seeds; 1 teaspoon cumin seeds; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","1. Wash and trim the ends of the okra. 2. Heat vegetable oil in a pan. Add mustard seeds and let them splutter. 3. Add cumin seeds and sauté for a minute. 4. Add finely chopped onions and sauté until golden brown. 5. Stir in turmeric powder and red chili powder. 6. Add chopped tomatoes and cook until they turn soft. 7. Add okra and salt. Cook for 10-15 minutes, stirring occasionally, until okra is tender. 8. Garnish with chopped cilantro and serve hot with rice."
"Aloo Posto","4 potatoes, diced; 1/2 cup poppy seeds (posto); 2-3 green chilies, chopped; 1/2 teaspoon mustard seeds; 1/2 teaspoon turmeric powder; 2 tablespoons mustard oil; Salt to taste;","1. Soak poppy seeds in water for 2 hours and then grind them into a paste. 2. Heat mustard oil in a pan. 3. Add mustard seeds and let them splutter. 4. Stir in diced potatoes and turmeric powder. 5. Sauté for a few minutes. 6. Add poppy seed paste, green chilies, and salt. 7. Cook until the potatoes are tender and the poppy seed paste thickens. 8. Serve with rice."
"Katla Macher Jhol","4 pieces of katla fish; 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon ginger garlic paste; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1 teaspoon cumin powder; 1 teaspoon coriander powder; 1/2 teaspoon mustard seeds; 2 tablespoons mustard oil; Salt to taste; Chopped cilantro for garnish","1. Heat mustard oil in a pan until it smokes. 2. Add mustard seeds and let them splutter. 3. Add finely chopped onions and sauté until golden brown. 4. Stir in ginger garlic paste and cook for a minute. 5. Add chopped tomatoes and cook until they turn soft. 6. Add turmeric powder, red chili powder, cumin powder, coriander powder, and salt. 7. Cook for a few minutes. 8. Add katla fish pieces and cook until the fish is done. 9. Garnish with chopped cilantro. 10. Serve hot with steamed rice."
"Bhatki Macher Jhol","4 pieces of bhatki fish; 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon ginger garlic paste; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1 teaspoon cumin powder; 1 teaspoon coriander powder; 1/2 teaspoon mustard seeds; 2 tablespoons mustard oil; Salt to taste; Chopped cilantro for garnish","1. Heat mustard oil in a pan until it smokes. 2. Add mustard seeds and let them splutter. 3. Add finely chopped onions and sauté until golden brown. 4. Stir in ginger garlic paste and cook for a minute. 5. Add chopped tomatoes and cook until they turn soft. 6. Add turmeric powder, red chili powder, cumin powder, coriander powder, and salt. 7. Cook for a few minutes. 8. Add bhatki fish pieces and cook until the fish is done. 9. Garnish with chopped cilantro. 10. Serve hot with steamed rice."
"Elish Macher Jhol","4 pieces of hilsa fish (elish mach); 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon ginger garlic paste; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1 teaspoon cumin powder; 1 teaspoon coriander powder; 1/2 teaspoon mustard seeds; 2 tablespoons mustard oil; Salt to taste; Chopped cilantro for garnish","1. Heat mustard oil in a pan until it smokes. 2. Add mustard seeds and let them splutter. 3. Add finely chopped onions and sauté until golden brown. 4. Stir in ginger garlic paste and cook for a minute. 5. Add chopped tomatoes and cook until they turn soft. 6. Add turmeric powder, red chili powder, cumin powder, coriander powder, and salt. 7. Cook for a few minutes. 8. Add hilsa fish pieces and cook until the fish is done. 9. Garnish with chopped cilantro. 10. Serve hot with steamed rice."
"Papear Tarkari","2 cups raw papaya, peeled and diced; 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon ginger garlic paste; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1/2 teaspoon cumin seeds; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","1. Heat vegetable oil in a pan. 2. Add cumin seeds and let them splutter. 3. Add finely chopped onions and sauté until golden brown. 4. Stir in ginger garlic paste and cook for a minute. 5. Add chopped tomatoes and cook until they turn soft. 6. Add turmeric powder, red chili powder, and salt. 7. Add diced papaya and cook until tender. 8. Garnish with chopped cilantro. 9. Serve with rice or roti."
"Mix Vegetable Curry","2 cups mixed vegetables (carrots, beans, peas, potatoes), diced; 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon ginger garlic paste; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1 teaspoon cumin powder; 1 teaspoon coriander powder; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","1. Heat vegetable oil in a pan. 2. Add finely chopped onions and sauté until golden brown. 3. Stir in ginger garlic paste and cook for a minute. 4. Add chopped tomatoes and cook until they turn soft. 5. Add turmeric powder, red chili powder, cumin powder, coriander powder, and salt. 6. Add diced mixed vegetables and cook until tender. 7. Garnish with chopped cilantro. 8. Serve with rice or roti."
"Patal Chingri","1 cup shrimp, cleaned and deveined; 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon ginger garlic paste; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1 teaspoon cumin powder; 1 teaspoon coriander powder; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","1. Heat vegetable oil in a pan. 2. Add finely chopped onions and sauté until golden brown. 3. Stir in ginger garlic paste and cook for a minute. 4. Add chopped tomatoes and cook until they turn soft. 5. Add turmeric powder, red chili powder, cumin powder, coriander powder, and salt. 6. Add cleaned shrimp and cook until they turn pink and opaque. 7. Garnish with chopped cilantro. 8. Serve hot with steamed rice."
"Mutton Curry","1 pound mutton pieces; 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon ginger garlic paste; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1 teaspoon cumin powder; 1 teaspoon coriander powder; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","1. Heat vegetable oil in a pressure cooker. 2. Add finely chopped onions and sauté until golden brown. 3. Stir in ginger garlic paste and cook for a minute. 4. Add chopped tomatoes and cook until they turn soft. 5. Add turmeric powder, red chili powder, cumin powder, coriander powder, and salt. 6. Add mutton pieces and cook until they are browned on all sides. 7. Add enough water to cover the mutton, close the pressure cooker, and cook until the mutton is tender (about 4-5 whistles). 8. Garnish with chopped cilantro. 9. Serve hot with rice or naan."
"Khichuri","1 cup rice; 1/2 cup split yellow lentils (moong dal); 1 onion, finely chopped; 2 tomatoes, chopped; 1 teaspoon ginger garlic paste; 1/2 teaspoon turmeric powder; 1/2 teaspoon cumin seeds; 2 tablespoons ghee; Salt to taste; Chopped cilantro for garnish","1. Rinse rice and moong dal together and soak in water for 30 minutes. 2. Heat ghee in a pressure cooker. 3. Add cumin seeds and let them splutter. 4. Add finely chopped onions and sauté until golden brown. 5. Stir in ginger garlic paste and cook for a minute. 6. Add chopped tomatoes and cook until they turn soft. 7. Add turmeric powder and salt. 8. Drain the soaked rice and dal and add them to the pressure cooker. 9. Add enough water to cover the rice and dal mixture. 10. Close the pressure cooker and cook until you hear 3-4 whistles. 11. Garnish with chopped cilantro. 12. Serve hot."
"Patishapta","For the Crepes: 1 cup rice flour; 1/2 cup all-purpose flour; 1/2 cup semolina (sooji); 1/2 cup milk; 1/2 cup water; For the Filling: 1 cup grated coconut; 1 cup jaggery, grated; 1/2 teaspoon cardamom powder; Ghee for cooking","For the Crepes: 1. In a bowl, combine rice flour, all-purpose flour, semolina, milk, and water to make a batter. 2. Heat a non-stick pan and spread ghee on it. 3. Pour a ladleful of the batter onto the pan and spread it in a circular motion to make thin crepes. 4. Cook until they turn golden brown on both sides. 5. For the Filling: 1. In a pan, melt the grated jaggery with a little water to make a syrup. 2. Add grated coconut and cardamom powder to the syrup. 3. Cook until the mixture thickens. 4. Place a spoonful of the filling on each crepe and roll them up. 5. Serve warm."
"Ice Cream","2 cups heavy cream; 1 cup whole milk; 1 cup sugar; 2 teaspoons vanilla extract; Your choice of flavorings (chocolate chips, fruit puree, etc.);","1. In a bowl, whisk together heavy cream and sugar until the sugar is dissolved. 2. Add whole milk and vanilla extract. 3. Pour the mixture into an ice cream maker and churn according to the manufacturer's instructions. 4. During the last few minutes of churning, add your choice of flavorings. 5. Transfer the ice cream to an airtight container and freeze for several hours until firm. 6. Serve scoops of ice cream in bowls or cones."
"Lobongo Lotika","For the Dough: 1 cup all-purpose flour; 2 tablespoons ghee; Water for kneading; For the Filling: 1/2 cup khoya (milk solids); 2 tablespoons powdered sugar; A few raisins and chopped nuts; For the Sugar Syrup: 1 cup sugar; 1/2 cup water; A few drops of rose essence; Oil for frying;","For the Dough: 1. Mix all-purpose flour and ghee in a bowl. 2. Add water gradually and knead into a soft dough. 3. Cover and let it rest for 30 minutes. For the Filling: 1. Mix khoya, powdered sugar, raisins, and chopped nuts in a bowl. For the Sugar Syrup: 1. Prepare a sugar syrup by boiling sugar and water until it reaches a one-string consistency. 2. Add rose essence to the syrup. For Making Lobongo Lotika: 1. Roll out small portions of the dough into thin circles. 2. Place a portion of the filling in the center of each circle. 3. Fold the dough over the filling to make a half-moon shape. 4. Seal the edges by pressing with the tines of a fork. 5. Heat oil in a pan and deep fry the lobongo lotikas until golden brown. 6. Remove from oil and immediately dip them in the sugar syrup. 7. Let them soak for a few minutes. 8. Serve once they cool down."
"Chanachur","1 cup roasted gram (bhuna chana); 1/2 cup peanuts; 1/2 cup sev (crispy chickpea noodles); 1/2 cup roasted poha (flattened rice); 1/2 cup fried curry leaves; 1/2 cup fried green chilies; 1/2 cup fried cashews; 1/2 cup fried raisins; 1/2 cup roasted masoor dal (split red lentils); 1/2 cup roasted moong dal (split yellow lentils); 1/2 cup roasted chana dal (split chickpeas); 1/2 cup roasted peanuts; 1/2 cup roasted sunflower seeds; 1 teaspoon red chili powder; 1/2 teaspoon chaat masala; 1/2 teaspoon black salt; 1/2 teaspoon cumin powder; 1/2 teaspoon coriander powder; 1/2 teaspoon amchur (dried mango) powder; 1/2 teaspoon sugar; 1/4 cup vegetable oil; Salt to taste","1. In a large mixing bowl, combine roasted gram, peanuts, sev, roasted poha, fried curry leaves, fried green chilies, fried cashews, fried raisins, roasted masoor dal, roasted moong dal, roasted chana dal, roasted peanuts, and roasted sunflower seeds. 2. Add red chili powder, chaat masala, black salt, cumin powder, coriander powder, amchur powder, sugar, and salt. 3. Mix everything together until well combined. 4. Store in an airtight container. 5. Enjoy as a spicy and crunchy snack!"
